model,type,sex,length,set back,waist width,min weight,max weight,sidecut,effective edge,nose width,tail width,stance width,
K2 Joy Driver Split,powder,m,159,0.75,24.97,54.5,90.1,8.1,121.92,29.58,29.26,22,
K2 Joy Driver Split,powder,m,165,0.75,25.37,68,150,8.3,127,30.25,29.93,23,
K2 Simple Pleasures,powder,m,151,0.75,26.1,0,68,7.4,111.6,30.871,28.668,20,
K2 Simple Pleasures,powder,m,156,0.75,27.1,68,150,7.7,116.68,32.146,29.947,21,
K2 Joy Driver,all mountain,m,156,0.75,24.77,0,68,8,119.38,29.24,28.93,22,
K2 Joy Driver,all mountain,m,159,0.75,24.97,54.5,90.1,8.1,121.92,29.58,29.26,22,
K2 Joy Driver,all mountain,m,162,0.75,25.17,68,150,8.2,124.46,29.91,29.6,23,
K2 Joy Driver,all mountain,m,165,0.75,25.37,68,150,8.3,127,30.25,29.93,23,
K2 Joy Driver Wide,all mountain,m,158,0.75,26.27,59,95,8.1,121.92,30.87,30.56,22,
K2 Joy Driver Wide,all mountain,m,163,0.75,26.57,68,150,8.2,124.46,31.31,30.99,23,
K2 Overboard,powder,m,165,0.75,26.7,64,150,8.8,121.7,32.9,28.5,21,
K2 Eighty Seven,powder,m,150,0.75,25.65,0,68,7.5,109.22,29.82,28.82,21,
K2 Eighty Seven,powder,m,153,0.75,25.9,0,68,7.5,111.76,30,29,21,
K2 Eighty Seven,powder,m,155,0.75,26.15,59,95,7.7,114.3,30.57,29.57,22,
K2 Eighty Seven,powder,m,157,0.75,26.4,59,95,7.8,116.84,31.1,30.7,22,
K2 Eighty Seven,powder,m,160,0.75,26.65,72.5,150,7.9,119.38,31.32,30.32,23,
K2 Cool Bean,powder,m,138,10,27.5,0,68,7.3,96.52,31.65,29.67,19,
K2 Cool Bean,powder,m,144,10,28.7,59,95,7.5,101.52,33,31,21,
K2 Cool Bean,powder,m,150,10,28.7,68,150,7.9,106.68,33,31,23,
K2 Broadcast,all mountain,m,153,0.75,24.6,54,91,7.9,116.8,29,28.5,21,
K2 Broadcast,all mountain,m,156,0.75,24.8,54,91,8,119.4,29.2,28.9,22,
K2 Broadcast,all mountain,m,159,0.75,25,59,104,8.1,121.9,29.6,29.3,22,
K2 Broadcast,all mountain,m,162,0.75,25.2,59,104,8.2,124.5,29.9,29.6,23,
K2 Party Platter,powder,m,143,0,26,0,68,7.3,101.6,30.14,28.44,20,
K2 Party Platter,powder,m,150,0,27,68,150,7.5,106.68,31.38,29.68,21,
K2 Bottle Rocket,park,m,148,0,25.7,59,95,7.4,111.76,29.75,29.75,21,
K2 Bottle Rocket,park,m,152,0,25.9,59,95,7.5,114.3,30.08,30.08,22,
K2 Bottle Rocket,park,m,156,0,26.1,72.5,150,7.6,116.84,30.42,30.42,22,
K2 Bottle Rocket,park,m,160,0,26.3,77,150,7.7,119.38,30.75,30.75,23,
K2 Afterblack,park,m,149,0,25,50,82,8,111.76,28.9,28.9,20,
K2 Afterblack,park,m,154,0,25.2,54,88,8.1,116.84,29.5,29.5,21,
K2 Afterblack,park,m,157,0,25.4,59,91,8.2,119.38,29.8,29.8,22,
K2 WWW,park,m,144,0,24.5,0,68,7.5,106.22,28.15,28.15,19,
K2 WWW,park,m,148,0,24.7,0,68,7.6,110.22,28.56,28.56,20,
K2 WWW,park,m,152,0,24.9,54.5,90.71,7.7,114.22,28.96,28.96,21,
K2 WWW,park,m,156,0,25.1,59,95,7.8,118.22,29.38,29.38,22,
K2 WWW Wide,park,m,151,0,26,63.5,104.33,7.7,113.22,30.1,30.1,22,
K2 WWW Wide,park,m,154,0,26.2,68,150,7.8,116.22,30.36,30.36,22,
K2 WWW Wide,park,m,157,0,26.4,72.5,150,7.8,119.22,30.71,30.71,23,
K2 Manifest,all mountain,m,153,0.75,24.8,54,86,8.6,116.8,29,29,20,
K2 Manifest,all mountain,m,156,0.75,25,59,91,8.7,119.3,29.4,29.4,21,
K2 Manifest,all mountain,m,159,0.75,25.2,59,95,8.8,121.9,29.7,29.7,21,
K2 Manifest,all mountain,m,162,0.75,25.4,59,95,8.9,124.4,30,30,22,
K2 Raygun,all mountain,m,150,0.75,24.5,72.5,150,7.8,116.76,28.54,28.54,21,
K2 Raygun,all mountain,m,153,0.75,24.7,0,68,7.9,119.3,28.86,28.86,21,
K2 Raygun,all mountain,m,156,0.75,24.9,59,95,8,121.84,29.2,29.2,22,
K2 Raygun,all mountain,m,159,0.75,25.1,59,95,8.1,124.38,29.53,29.53,22,
K2 Raygun,all mountain,m,161,0.75,25.3,68,150,8.2,126.92,29.86,29.86,23,
K2 Raygun Wide,all mountain,m,157,0.75,26.2,68,150,8,121.84,30.5,30.5,22,
K2 Raygun Wide,all mountain,m,160,0.75,26.5,72.5,150,8.1,124.38,30.93,30.93,23,
K2 Raygun Wide,all mountain,m,164,0.75,26.8,77,150,8.2,129.46,31.55,31.55,23,
K2 Standard,all mountain,m,147,0.75,24.5,49.9,86.1,7.9,116.77,28.67,28.67,20,
K2 Standard,all mountain,m,152,0.75,24.9,54.5,90.7,8,119.31,29,29,21,
K2 Standard,all mountain,m,155,0.75,25.1,59,95,8.1,121.84,29.33,29.33,21,
K2 Standard,all mountain,m,158,0.75,25.3,63.5,99.8,8.2,124.39,29.66,29.66,22,
K2 Standard,all mountain,m,161,0.75,25.3,63.5,99.8,8.3,126.93,29.81,29.81,22,
K2 Standard,all mountain,m,155,0.75,26.2,59,95,8.1,121.84,30.63,30.63,21,
K2 Standard,all mountain,m,159,0.75,26.5,63.8,99.8,8.2,126.93,31.25,31.25,22,
K2 Standard,all mountain,m,163,0.75,26.8,72.5,150,8.3,129.47,31.68,31.68,23,